<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201123,124100,242.0500000,242.0900000,242.0100000,242.0300000,50740
SBER,1,20201123,124200,242.0300000,242.1100000,242.0300000,242.1100000,38260
SBER,1,20201123,124300,242.1200000,242.1900000,242.0100000,242.0100000,64870
SBER,1,20201123,124400,242.0600000,242.0600000,241.8800000,241.9900000,73850
SBER,1,20201123,124500,242.0000000,242.0000000,241.8100000,241.8900000,57950
SBER,1,20201123,124600,241.8600000,241.9500000,241.6200000,241.9300000,186360
SBER,1,20201123,124700,241.9000000,241.9600000,241.8600000,241.8800000,25340
SBER,1,20201123,124800,241.9000000,241.9800000,241.8800000,241.9200000,21340
SBER,1,20201123,124900,241.9200000,241.9400000,241.8300000,241.8600000,22520
SBER,1,20201123,125000,241.8600000,241.9500000,241.7300000,241.8300000,74270
SBER,1,20201123,125100,241.8100000,241.8100000,241.5500000,241.5500000,254310
SBER,1,20201123,125200,241.5400000,241.7300000,241.4100000,241.6700000,326750
SBER,1,20201123,125300,241.6700000,241.9300000,241.6500000,241.8100000,78010
SBER,1,20201123,125400,241.8200000,241.8200000,241.6500000,241.8200000,84750
SBER,1,20201123,125500,241.8200000,241.9400000,241.7600000,241.8800000,67430
SBER,1,20201123,125600,241.8500000,242.0000000,241.8500000,241.9700000,175730
SBER,1,20201123,125700,241.9500000,242.0400000,241.9200000,242.0000000,67890
SBER,1,20201123,125800,241.9800000,242.0300000,241.9000000,241.9000000,27410
SBER,1,20201123,125900,241.9800000,241.9800000,241.7500000,241.7600000,61280
SBER,1,20201123,130000,241.7700000,242.0000000,241.7700000,242.0000000,37700
SBER,1,20201123,130100,241.9900000,242.1200000,241.9900000,242.0700000,87550
SBER,1,20201123,130200,242.0500000,242.0900000,242.0200000,242.0500000,12270
SBER,1,20201123,130300,242.0800000,242.0900000,242.0000000,242.0800000,42700
SBER,1,20201123,130400,242.0800000,242.3000000,242.0700000,242.1200000,167990
SBER,1,20201123,130500,242.1700000,242.2300000,242.0800000,242.1800000,39320
SBER,1,20201123,130600,242.2300000,242.2300000,242.1000000,242.1800000,28260
SBER,1,20201123,130700,242.1800000,242.1800000,242.0400000,242.1000000,48460
SBER,1,20201123,130800,242.0600000,242.2000000,242.0600000,242.1700000,24260
SBER,1,20201123,130900,242.2000000,242.2000000,242.1400000,242.1400000,31250
SBER,1,20201123,131000,242.1700000,242.1700000,242.0700000,242.0800000,18330
SBER,1,20201123,131100,242.0900000,242.1200000,242.0900000,242.1200000,9310
SBER,1,20201123,131200,242.1000000,242.2100000,242.1000000,242.2100000,17790
SBER,1,20201123,131300,242.2200000,242.5200000,242.1700000,242.3200000,236570
SBER,1,20201123,131400,242.3000000,242.4400000,242.3000000,242.3800000,39320
SBER,1,20201123,131500,242.4000000,242.4400000,242.2000000,242.2100000,48320
SBER,1,20201123,131600,242.2600000,242.2600000,242.0700000,242.1500000,53620
SBER,1,20201123,131700,242.2000000,242.2600000,242.1500000,242.1700000,12880
SBER,1,20201123,131800,242.1500000,242.2000000,242.1300000,242.1600000,19210
SBER,1,20201123,131900,242.1300000,242.2000000,242.1300000,242.1700000,20300
SBER,1,20201123,132000,242.2000000,242.2900000,242.1200000,242.2900000,37590
SBER,1,20201123,132100,242.3000000,242.3000000,242.1500000,242.1800000,18650
SBER,1,20201123,132200,242.2000000,242.3200000,242.2000000,242.3100000,12970
SBER,1,20201123,132300,242.3100000,242.3100000,242.2100000,242.2200000,7500
SBER,1,20201123,132400,242.2100000,242.2100000,242.1200000,242.1200000,9900
SBER,1,20201123,132500,242.1200000,242.2500000,242.1200000,242.1800000,18650
SBER,1,20201123,132600,242.2300000,242.3600000,242.2300000,242.3400000,21220
SBER,1,20201123,132700,242.3600000,242.3700000,242.3300000,242.3600000,15510
SBER,1,20201123,132800,242.3600000,242.3600000,242.1300000,242.1400000,32680
SBER,1,20201123,132900,242.1800000,242.2000000,242.1300000,242.1600000,9320
SBER,1,20201123,133000,242.1300000,242.1900000,241.9000000,241.9200000,102220
SBER,1,20201123,133100,241.9300000,242.0600000,241.9100000,242.0000000,70340
SBER,1,20201123,133200,242.0100000,242.1600000,242.0100000,242.0200000,66810
SBER,1,20201123,133300,242.0200000,242.0900000,241.9600000,242.0900000,49000
SBER,1,20201123,133400,242.0900000,242.2500000,242.0500000,242.1300000,48800
SBER,1,20201123,133500,242.1000000,242.1700000,241.8900000,241.9700000,86870
SBER,1,20201123,133600,241.9000000,242.0800000,241.8800000,242.0300000,47920
SBER,1,20201123,133700,242.0700000,242.0900000,242.0000000,242.0000000,17330
SBER,1,20201123,133800,242.0000000,242.0500000,241.9700000,241.9700000,10680
SBER,1,20201123,133900,242.0100000,242.0100000,241.9700000,242.0000000,10060
SBER,1,20201123,134000,241.9900000,242.0000000,241.9000000,241.9000000,22140
SBER,1,20201123,134100,241.9400000,242.0000000,241.8600000,242.0000000,42050
SBER,1,20201123,134200,241.9900000,242.0000000,241.9400000,241.9900000,36480
SBER,1,20201123,134300,241.9400000,242.0000000,241.9000000,241.9900000,78160
SBER,1,20201123,134400,241.9800000,242.0000000,241.9200000,241.9900000,28260
SBER,1,20201123,134500,241.9900000,242.0000000,241.9400000,242.0000000,16410
SBER,1,20201123,134600,242.0000000,242.1100000,241.9000000,242.0200000,57090
SBER,1,20201123,134700,242.0500000,242.1000000,242.0100000,242.0800000,44160
SBER,1,20201123,134800,242.0900000,242.1000000,242.0200000,242.1000000,11470
SBER,1,20201123,134900,242.0700000,242.1000000,241.7200000,241.7800000,240610
SBER,1,20201123,135000,241.7800000,242.0900000,241.7800000,242.0400000,88630
SBER,1,20201123,135100,242.0400000,242.0400000,241.8400000,241.8500000,54510
SBER,1,20201123,135200,241.9000000,241.9000000,241.8500000,241.8600000,28660
SBER,1,20201123,135300,241.8900000,241.9000000,241.8300000,241.8300000,60260
SBER,1,20201123,135400,241.8400000,241.8400000,241.6600000,241.7600000,89880
SBER,1,20201123,135500,241.7700000,241.8900000,241.7600000,241.8800000,29060
SBER,1,20201123,135600,241.8800000,241.8800000,241.7000000,241.7200000,52120
SBER,1,20201123,135700,241.6900000,241.7700000,241.6700000,241.7500000,68980
SBER,1,20201123,135800,241.7500000,241.9000000,241.7100000,241.8300000,361570
SBER,1,20201123,135900,241.8300000,241.8900000,241.5500000,241.7500000,281360
SBER,1,20201123,140000,241.7500000,241.9900000,241.5300000,241.7000000,228970
SBER,1,20201123,140100,241.6300000,241.6600000,241.5500000,241.5800000,19760
SBER,1,20201123,140200,241.5600000,241.5800000,241.5500000,241.5500000,53620
SBER,1,20201123,140300,241.5800000,241.6100000,241.5800000,241.5800000,40880
SBER,1,20201123,140400,241.5900000,241.6900000,241.5800000,241.6900000,19360
SBER,1,20201123,140500,241.6700000,241.7200000,241.6700000,241.6900000,7770
SBER,1,20201123,140600,241.7000000,241.7000000,241.0400000,241.0400000,732620
SBER,1,20201123,140700,241.0400000,241.3100000,241.0400000,241.2900000,109220
SBER,1,20201123,140800,241.2700000,241.2900000,241.1000000,241.2200000,81040
SBER,1,20201123,140900,241.2500000,241.3000000,241.1100000,241.2400000,62990
SBER,1,20201123,141000,241.2200000,241.2900000,241.1000000,241.1000000,44580
SBER,1,20201123,141100,241.1000000,241.1900000,240.9000000,240.9500000,299390
SBER,1,20201123,141200,240.9200000,241.0000000,240.8600000,240.8600000,83670
SBER,1,20201123,141300,240.9100000,241.0600000,240.8800000,240.9700000,87810
SBER,1,20201123,141400,241.0000000,241.0800000,240.9900000,241.0000000,37520
SBER,1,20201123,141500,240.9800000,241.0000000,240.9100000,240.9900000,38170
SBER,1,20201123,141600,240.9300000,241.0400000,240.7800000,241.0000000,445470
SBER,1,20201123,141700,241.0000000,241.4300000,240.9000000,241.1100000,396940
SBER,1,20201123,141800,241.1000000,241.1000000,240.9500000,241.0000000,124770
SBER,1,20201123,141900,241.0000000,241.1500000,240.8700000,241.0900000,125430
SBER,1,20201123,142000,241.1000000,241.2200000,241.0500000,241.1500000,73880
SBER,1,20201123,142100,241.1300000,241.1800000,241.0600000,241.1600000,21700
SBER,1,20201123,142200,241.1600000,241.1900000,241.0500000,241.1800000,36960
SBER,1,20201123,142300,241.1800000,241.2200000,241.1800000,241.2200000,33420
SBER,1,20201123,142400,241.2000000,241.2000000,241.1100000,241.1500000,50520
SBER,1,20201123,142500,241.1500000,241.1500000,241.1400000,241.1500000,62110
SBER,1,20201123,142600,241.1400000,241.1400000,241.0000000,241.0200000,53800
SBER,1,20201123,142700,241.0200000,241.1000000,241.0000000,241.0600000,37940
SBER,1,20201123,142800,241.0600000,241.0900000,241.0100000,241.0900000,12340
SBER,1,20201123,142900,241.0900000,241.1000000,241.0000000,241.0400000,38220
SBER,1,20201123,143000,241.0500000,241.0900000,241.0000000,241.0700000,22780
SBER,1,20201123,143100,241.0800000,241.1100000,241.0000000,241.0500000,34020
SBER,1,20201123,143200,241.0500000,241.0800000,240.0000000,240.1300000,1308700
SBER,1,20201123,143300,240.1400000,240.3000000,239.9000000,240.2500000,422140
SBER,1,20201123,143400,240.2600000,240.3000000,240.1800000,240.2000000,98090
SBER,1,20201123,143500,240.2000000,240.2900000,239.8000000,239.9000000,308490
SBER,1,20201123,143600,239.8500000,239.9500000,239.8000000,239.8600000,161520
SBER,1,20201123,143700,239.8600000,239.8600000,239.4000000,239.5000000,949950
SBER,1,20201123,143800,239.5200000,239.7100000,239.4400000,239.6700000,112790
SBER,1,20201123,143900,239.6700000,239.8500000,239.5600000,239.7900000,119800
SBER,1,20201123,144000,239.7700000,239.9500000,239.6700000,239.9100000,102020
SBER,1,20201123,144100,239.9100000,239.9100000,239.5500000,239.6600000,96210
SBER,1,20201123,144200,239.7100000,239.7500000,239.6000000,239.6800000,44700
SBER,1,20201123,144300,239.7000000,239.7700000,239.6000000,239.7200000,105880
SBER,1,20201123,144400,239.7300000,239.8000000,239.6200000,239.6700000,35280
SBER,1,20201123,144500,239.6700000,239.6700000,239.2600000,239.3900000,837160
SBER,1,20201123,144600,239.3800000,239.4700000,239.1300000,239.1300000,289410
SBER,1,20201123,144700,239.1900000,239.4200000,239.1100000,239.3500000,167380
SBER,1,20201123,144800,239.4000000,239.6000000,239.3500000,239.6000000,62880
SBER,1,20201123,144900,239.5800000,239.6500000,239.5100000,239.6100000,74480
SBER,1,20201123,145000,239.6000000,239.6400000,239.5000000,239.6000000,33010
SBER,1,20201123,145100,239.5200000,239.5900000,239.4300000,239.5000000,95430
